"MSA" "gmp" "pcgmp"
"1" "Abilene, TX" 3.887e+09 24490
"279" "Reno-Sparks, NV" 1.7063e+10 42537
"280" "Richmond, VA" 4.9817e+10 41727
"281" "Riverside-San Bernardino-Ontario, CA" 9.4313e+10 23682
"282" "Roanoke, VA" 1.0527e+10 35785
"283" "Rochester, MN" 7.584e+09 42520
"284" "Rochester, NY" 3.8573e+10 37346
"285" "Rockford, IL" 1.0492e+10 30443
"286" "Rocky Mount, NC" 4.708e+09 32611
"287" "Rome, GA" 2.575e+09 27099
"288" "Sacramento-Arden-Arcade-Roseville, CA" 7.8711e+10 38284
"289" "Saginaw-Saginaw Township North, MI" 6.19e+09 30216
"290" "St. Cloud, MN" 6.073e+09 33139
"291" "St. George, UT" 2.861e+09 22511
"292" "St. Joseph, MO-KS" 3.309e+09 26623
"293" "St. Louis, MO-IL" 1.02909e+11 36875
"294" "Salem, OR" 9.76e+09 25780
"295" "Salinas, CA" 1.5122e+10 37438
"296" "Salisbury, MD" 3.262e+09 27671
"297" "Salt Lake City, UT" 4.9049e+10 45658
"298" "San Angelo, TX" 2.712e+09 25222
"299" "San Antonio, TX" 6.1335e+10 31747
"300" "San Diego-Carlsbad-San Marcos, CA" 1.37179e+11 46707
"301" "Sandusky, OH" 2.668e+09 34466
"302" "San Francisco-Oakland-Fremont, CA" 2.53905e+11 60778
"303" "San Jose-Sunnyvale-Santa Clara, CA" 1.36148e+11 77258
"304" "San Luis Obispo-Paso Robles, CA" 8.502e+09 32743
"305" "Santa Barbara-Santa Maria-Goleta, CA" 1.5952e+10 39841
"306" "Santa Cruz-Watsonville, CA" 8.406e+09 33674
"307" "Santa Fe, NM" 5.276e+09 37513
"308" "Santa Rosa-Petaluma, CA" 1.723e+10 37379
"309" "Savannah, GA" 1.0451e+10 32538
"310" "Scranton-Wilkes-Barre, PA" 1.5715e+10 28675
"311" "Seattle-Tacoma-Bellevue, WA" 1.74169e+11 53525
"312" "Sebastian-Vero Beach, FL" 3.678e+09 28447
"313" "Sheboygan, WI" 4.374e+09 38406
"314" "Sherman-Denison, TX" 2.769e+09 23700
"315" "Shreveport-Bossier City, LA" 1.5061e+10 38927
"316" "Sioux City, IA-NE-SD" 4.84e+09 34168
"317" "Sioux Falls, SD" 1.1243e+10 50767
"318" "South Bend-Mishawaka, IN-MI" 1.0432e+10 33031
"319" "Spartanburg, SC" 8.72e+09 32350
"320" "Spokane, WA" 1.4055e+10 31448
"321" "Springfield, IL" 6.756e+09 32850
"322" "Springfield, MA" 1.7878e+10 26035
"323" "Springfield, MO" 1.1738e+10 28621
"324" "Springfield, OH" 3.107e+09 22039
"325" "State College, PA" 4.37e+09 30393
"326" "Stockton, CA" 1.576e+10 23792
"327" "Sumter, SC" 2.478e+09 23808
"328" "Syracuse, NY" 2.1793e+10 33795
"329" "Tallahassee, FL" 1.0391e+10 29917
"330" "Tampa-St. Petersburg-Clearwater, FL" 9.5146e+10 35408
"331" "Terre Haute, IN" 4.344e+09 25560
"332" "Texarkana, TX-Texarkana, AR" 3.35e+09 25032
"333" "Toledo, OH" 2.2723e+10 34864
"334" "Topeka, KS" 6.78e+09 29829
"335" "Trenton-Ewing, NJ" 1.9783e+10 54460
"336" "Tucson, AZ" 2.6098e+10 26791
"337" "Tulsa, OK" 3.3653e+10 37762
"338" "Tuscaloosa, AL" 6.447e+09 31855
"339" "Tyler, TX" 6.395e+09 32914
"340" "Utica-Rome, NY" 7.082e+09 24085
"341" "Valdosta, GA" 3.088e+09 24074
"342" "Vallejo-Fairfield, CA" 1.0195e+10 25045
"343" "Victoria, TX" 3.821e+09 33964
"344" "Vineland-Millville-Bridgeton, NJ" 4.039e+09 26242
"345" "Virginia Beach-Norfolk-Newport News, VA-NC" 6.0015e+10 36118
"346" "Visalia-Porterville, CA" 8.916e+09 21638
"347" "Waco, TX" 6.272e+09 27789
"348" "Warner Robins, GA" 3.83e+09 29926
"349" "Washington-Arlington-Alexandria, DC-VA-MD-WV" 3.16873e+11 60244
"350" "Waterloo-Cedar Falls, IA" 6.066e+09 37256
"351" "Wausau, WI" 4.72e+09 36648
"352" "Weirton-Steubenville, WV-OH" 2.665e+09 21521
"353" "Wenatchee-East Wenatchee, WA" 2.994e+09 28525
"354" "Wheeling, WV-OH" 3.789e+09 25831
"355" "Wichita, KS" 2.2001e+10 37415
"356" "Wichita Falls, TX" 4.037e+09 27039
"357" "Williamsport, PA" 3.073e+09 26209
"358" "Wilmington, NC" 1.0741e+10 32688
"359" "Winchester, VA-WV" 4.156e+09 35026
"360" "Winston-Salem, NC" 1.9538e+10 43063
"361" "Worcester, MA" 2.3644e+10 30288
"362" "Yakima, WA" 5.804e+09 25219
"363" "York-Hanover, PA" 1.2203e+10 29478
"364" "Youngstown-Warren-Boardman, OH-PA" 1.4983e+10 26001
"365" "Yuba City, CA" 3.407e+09 21318
"366" "Yuma, AZ" 3.761e+09 20320
